id,Category,Description,Usage Details,Include Tagset from ID,Add Tagset,Final Tagset,Haste Choice
41,Heating cooling coil,Variable speed heat pump coil,"A heating cooling coil using a reversible, direct expansion refrigeration cycle with theoretical control capabilities of 0 - 100%.",39,continuous,continuous dxHeating dxCooling heatingCoolingCoil equip,TRUE
42,Heating coil,Modulating natural gas heating coil,An apparatus used to transfer energy into a substance through the combustion of natural gas with theoretical control capabilities of 0 - 100%.,33,continuous,continuous naturalGasHeating heatingCoil equip,TRUE
43,Heating coil,2-stage DX heating coil,An apparatus used to transfer energy into a substance using a direct expansion refrigeration cycle with two stages.,24,multiStage numStages:2,multiStage numStages:2 dxHeating heatingCoil equip,TRUE
44,Cooling coil,2-stage DX cooling coil,An apparatus used to transfer energy out of a substance using a direct expansion refrigeration cycle with 2 stages.,25,multiStage numStages:2,multiStage numStages:2 dxCooling coolingCoil equip,TRUE
45,Heating coil,2-stage electric heating coil,An apparatus used to transfer energy into a substance using electric resistance with exactly 2 stages,31,multiStage numStages:2,multiStage numStages:2 elecHeating heatingCoil equip,TRUE
46,Heating coil,2-stage natural gas heating coil,An apparatus used to transfer energy into a substance through the combustion of natural gas with exactly 2 stages,33,multiStage numStages:2,multiStage numStages:2 naturalGasHeating heatingCoil equip,TRUE
47,Multi-speed fan,2-speed fan,Used to describe a fan with two discrete speeds.,16,multiStage numStages:2,multiStage numStages:2 fan motor equip,
48,Discharge fan,2-speed discharge fan,2-speed fan used in the discharge air stream,47,discharge,discharge multiStage numStages:2 fan motor equip,TRUE
49,Exhaust fan,2-speed exhaust fan,2-speed fan used in the exhaust air stream,47,exhaust,exhaust multiStage numStages:2 fan motor equip,TRUE
50,Return fan,2-speed return fan,2-speed fan used in the return air stream,47,return,return multiStage numStages:2 fan motor equip,TRUE
51,Heating cooling coil,2-Stage heat pump coil,"A heating cooling coil using a reversible, direct expansion refrigeration cycle with exactly 2 stages.",39,multiStage numStages:2,multiStage numStages:2 dxHeating dxCooling heatingCoolingCoil equip,TRUE
52,Space,,,,space,space,
53,Space,,,52,zone,zone space,
54,Space,,A thermal zone or HVAC zone.,53,hvac,hvac zone space,
55,Heating coil,Single Stage DX heating coil,An apparatus used to transfer energy into a substance using a single stage direct expansion refrigeration cycle,24,singleStage,singleStage dxHeating heatingCoil equip,TRUE
56,Cooling coil,Single Stage DX cooling coil,An apparatus used to transfer energy out of a substance using a single stage direct expansion refrigeration cycle,25,singleStage,singleStage dxCooling coolingCoil equip,TRUE
57,Heating coil,Modulating hot water coil,"An apparatus used to transfer energy into a substance using hot water flowing through a coil.  It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",28,continuous,continuous hotWaterHeating heatingCoil equip,TRUE
58,Heating coil,Modulating steam coil,"An apparatus used to transfer energy into a substance using steam flowing through a coil. It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",29,continuous,continuous steamHeating heatingCoil equip,TRUE
59,Cooling coil,Modulating chilled water coil,"An apparatus used to transfer energy out of a substance using chilled water flowing through a coil. It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",30,continuous,continuous chilledWaterCooling coolingCoil equip,TRUE
60,Heating coil,Single stage electric heating coil,An apparatus used to transfer energy into a substance using electric resistance with a single stage.,31,singleStage,singleStage elecHeating heatingCoil equip,TRUE
61,Heating coil,Single stage natural gas heating coil,An apparatus used to transfer energy into a substance through the combustion of natural gas using a single stage.,33,singleStage,singleStage naturalGasHeating heatingCoil equip,TRUE
62,Heating cooling coil,Single stage heat pump coil,"A heating cooling coil using a reversible, direct expansion refrigeration cycle with a single stage.",39,singleStage,singleStage dxHeating dxCooling heatingCoolingCoil equip,TRUE
